カテゴリー,分類群,和名,学名
絶滅危惧ⅠＡ類（CR）,維管束植物,カイサカネラン,Neottia furusei
絶滅危惧ⅠＡ類（CR）,維管束植物,エゾサカネラン,Neottia nidus-avis
絶滅危惧ⅠＡ類（CR）,維管束植物,オオハクウンラン,Odontochilus fissus
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメシラヒゲラン,Odontochilus nanlingensis
絶滅危惧ⅠＡ類（CR）,維管束植物,オオギミラン,Odontochilus tashiroi
絶滅危惧ⅠＡ類（CR）,維管束植物,ツクシアリドオシラン,Odontochilus tsukusianus
絶滅危惧ⅠＡ類（CR）,維管束植物,コケイランモドキ,Oreorchis coreana
絶滅危惧ⅠＡ類（CR）,維管束植物,コハクラン,Oreorchis indica
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒゲナガトンボ,Peristylus calcaratus
絶滅危惧ⅠＡ類（CR）,維管束植物,タコガタサギソウ,Peristylus lacertifer var. triangularis
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメカクラン,Phaius mishmensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクシマチドリ,Platanthera amabilis
絶滅危惧ⅠＡ類（CR）,維管束植物,ツクシチドリ,Platanthera brevicalcarata subsp. yakumontana
絶滅危惧ⅠＡ類（CR）,維管束植物,オオバナオオヤマサギソウ,Platanthera hondoensis
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミトンボ,Platanthera mandarinorum subsp. hachijoensis var. amamiana
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクシマトンボ,Platanthera mandarinorum subsp. hachijoensis var. masamunei
絶滅危惧ⅠＡ類（CR）,維管束植物,ハチジョウツレサギ,Platanthera okuboi
絶滅危惧ⅠＡ類（CR）,維管束植物,クニガミトンボソウ,Platanthera sonoharae
絶滅危惧ⅠＡ類（CR）,維管束植物,ソハヤキトンボソウ,Platanthera stenoglossa subsp. hottae
絶滅危惧ⅠＡ類（CR）,維管束植物,クロカミラン,Ponerorchis graminifolia var. kurokamiana
絶滅危惧ⅠＡ類（CR）,維管束植物,サツマチドリ,Ponerorchis graminifolia var. nigropunctata
絶滅危惧ⅠＡ類（CR）,維管束植物,イリオモテラン,Staurochilus luchuensis
絶滅危惧ⅠＡ類（CR）,維管束植物,イリオモテカヤラン,Thrixspermum annamense
絶滅危惧ⅠＡ類（CR）,維管束植物,ハガクレナガミラン,Thrixspermum fantasticum
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミカヤラン,Thrixspermum pygmaeum
絶滅危惧ⅠＡ類（CR）,維管束植物,オオキヌラン,Zeuxine nervosa
絶滅危惧ⅠＡ類（CR）,維管束植物,ムジナノカミソリ,Lycoris sanguinea var. koreana
絶滅危惧ⅠＡ類（CR）,維管束植物,セトガワギボウシ,Hosta takiminazukiflora subsp. grandis
絶滅危惧ⅠＡ類（CR）,維管束植物,サツマオモト,Rohdea japonica var. latifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,ニッパヤシ,Nypa fruticans
絶滅危惧ⅠＡ類（CR）,維管束植物,チシマミクリ,Sparganium hyperboreum
